dbp,num_peaks,total_peak_length,peaks_overlapping_promoters,peaks_overlapping_lncrna_promoters,peaks_overlapping_mrna_promoters,peaks_overlapping_genebody,peaks_overlapping_lncrna_genebody,peaks_overlapping_mrna_genebody
E2F2,1791,1434448,2001,395,1606,2366,424,1942
E2F4,17516,12395659,13757,2940,10817,20233,3981,16252
E2F5,16606,14811933,13843,2978,10865,19653,3693,15960
EEA1,9316,18429675,9274,2110,7164,12425,2514,9911
EED,13742,15747877,11885,2639,9246,16302,3244,13058
EGR1,56227,64607963,17502,4666,12836,51686,11300,40386
ELF1,11831,7493871,9271,1962,7309,13784,2712,11072
ELF3,60538,45130583,16924,4383,12541,53961,11852,42109
ELF4,2270,1308093,2286,463,1823,2920,571,2349
ELK1,7935,4631262,7196,1552,5644,9621,1874,7747
ERF,50738,54949513,16356,4247,12109,47077,10070,37007
ESRRA,26762,19936306,13007,3071,9936,27015,5636,21379
ETS1,3528,3914856,2841,685,2156,4306,901,3405
ETV5,42629,40177979,16759,4230,12529,40476,8567,31909
ETV6,27358,27278407,15320,3613,11707,28495,5914,22581
EZH2,9043,14334539,3661,1079,2582,7554,1989,5565
FOSL2,23001,27386059,5627,1674,3953,20599,5095,15504
FOXA1,14965,7078364,1911,636,1275,12231,2959,9272
FOXA2,14470,10867662,1585,567,1018,12200,2901,9299
FOXA3,68309,47817591,16802,4462,12340,60276,13325,46951
FOXJ3,5472,3653993,2119,526,1593,5251,1249,4002
FOXK1,24205,24891562,11502,2660,8842,24691,5303,19388
FOXM1,2555,1083213,2728,548,2180,3168,518,2650
FOXO1,55014,55037788,17065,4543,12522,50316,11020,39296
FOXP1,28230,14403594,7100,1906,5194,25010,5647,19363
FOXP4,38380,23991031,13579,3350,10229,36234,7750,28484
FUBP1,6738,7698126,4948,1110,3838,7963,1590,6373
FUBP3,9789,8318744,8267,1812,6455,11618,2250,9368
GABPA,4843,1618372,5328,1026,4302,6118,1054,5064
GABPB1,39495,45232025,17038,4336,12702,38248,8073,30175
GATA2,19752,8955235,3893,1116,2777,16759,3949,12810
GATAD1,44794,36041423,16076,4033,12043,42243,8926,33317
GATAD2A,82689,70915239,18353,5026,13327,71677,15511,56166
GLI4,18785,27991685,13181,2971,10210,21495,4468,17027
GMEB1,18600,26833098,12960,2916,10044,21506,4466,17040
GMEB2,4847,2559423,5661,1081,4580,6601,1162,5439
GPN1,8778,9150780,8533,1870,6663,11117,2131,8986
GTF2F1,1650,659747,1858,409,1449,2113,396,1717
GTF3A,4180,3006562,3788,818,2970,5007,973,4034
GZF1,16615,14513999,12218,2707,9511,18694,3764,14930
H2AFZ,12498,4385524,7147,1496,5651,8502,2611,5891
H3K27ac,29002,46525952,14740,3445,11295,30229,5717,24512
H3K36me3,2577,9356098,121,95,26,3034,250,2784
H3K4me1,85576,138399594,15266,4685,10581,71576,15010,56566
H3K4me2,56196,85569189,22865,5607,17258,49225,11281,37944
H3K4me3,13088,36633895,13290,2882,10408,17243,3599,13644
H3K79me2,73525,77737977,12860,3069,9791,81684,6322,75362
H3K9ac,23816,37296798,15805,3561,12244,25484,5273,20211
H3K9me3,39052,54827123,641,498,143,19203,11719,7484
H4K20me1,7454,13674612,963,319,644,8272,535,7737
HCFC1,5456,2738271,6229,1116,5113,7393,1229,6164
HDAC1,31327,23709069,14503,3423,11080,31559,6563,24996
HDAC2,25288,31803418,10647,2620,8027,25829,5569,20260
HINFP,21671,25166826,13193,3056,10137,23386,4887,18499
HIVEP1,88850,101973770,20667,6033,14634,79789,15083,64706
HMG20A,37968,32825389,12513,3230,9283,34245,8169,26076
HMG20B,29737,21423047,14075,3357,10718,29482,6297,23185
HMGXB3,34763,33575783,14887,3654,11233,33931,7352,26579
HMGXB4,21719,27917509,13586,3132,10454,23455,5025,18430
HNF1A,23842,22883268,13146,3054,10092,25131,5281,19850
HNF1B,43457,40954213,15877,4030,11847,40580,8707,31873
